,movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female
10,11,1000000,en,14.774066,1976-11-21,119.0,Large,117235147.0,1,0,1,1,16,1976.0,11.0,0,21.0,31944703.0,0,1.0,1,1,0,0,0,0,16,5,4,2,2,0,0,0.0,1.0,0.0,1.0,0.0,1.0,,245066411.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,5.0,1.0,4.0,4.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,12,0,en,10.54375,1987-07-10,98.0,Medium,22642033.0,1,0,1,1,6,1987.0,7.0,0,10.0,40981593.0,0,4.0,1,1,0,0,0,0,6,6,0,2,2,1,1,0.0,0.0,0.0,1.0,1.0,1.0,14717854.0,,9697739.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,15000000,en,20.726578,1999-09-15,122.0,Large,356296601.0,1,1,1,1,21,1999.0,9.0,1,15.0,-37667937.0,0,2.0,1,1,0,0,0,0,21,14,6,8,3,6,1,0.0,1.0,1.0,1.0,0.0,0.0,189859560.0,116672912.0,178051587.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,7.0,23.0,11.0,5.0,8.0,3.0,11.0,19.0,8.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
13,14,53000000,en,13.314232999999998,2005-03-04,118.0,Medium,95226116.0,1,0,1,1,8,2005.0,3.0,0,4.0,-7149862.0,0,4.0,1,1,0,1,0,0,8,24,8,13,4,16,11,0.0,1.0,0.0,1.0,0.0,1.0,296000000.0,238207122.0,170268750.0,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,15,102000000,en,20.666063,2002-06-20,145.0,Large,358372926.0,1,0,1,1,9,2002.0,6.0,0,20.0,74205073.0,0,7.0,1,1,0,0,0,0,9,20,2,2,2,1,1,0.0,0.0,1.0,1.0,1.0,0.0,356830601.0,32287044.0,,19,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,19.0,15.0,36.0,14.0,4.0,6.0,7.0,21.0,17.0,13.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
15,16,500000,sr,1.018477,2010-10-06,97.0,Medium,198.0,0,1,1,1,2,2010.0,10.0,1,6.0,-28659422.0,0,1.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,3.0,5.0,3.0,1.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,26000000,en,6.336926999999999,2005-08-04,85.0,Short,57891803.0,1,0,1,1,4,2005.0,8.0,1,4.0,-33273015.0,0,3.0,1,1,0,1,0,0,4,4,4,5,5,20,10,1.0,0.0,0.0,0.0,1.0,1.0,285176741.0,374218673.0,407711549.0,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,1.0,1.0,14.0,2.0,3.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
17,18,0,en,4.1835580000000006,2013-12-25,111.0,Medium,1234254.0,1,0,1,1,2,2013.0,12.0,1,25.0,32322910.0,0,4.0,1,1,0,0,0,0,2,22,7,7,5,5,1,0.0,1.0,1.0,1.0,0.0,0.0,301000000.0,13204291.0,31466789.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,1.0,2.0,3.0,1.0,1.0,0.0,5.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
18,19,8000000,en,6.496258999999999,2011-02-02,96.0,Medium,1749457.0,1,0,1,1,7,2011.0,2.0,0,2.0,-15309317.0,0,4.0,3,1,0,0,0,0,7,3,3,3,3,11,5,1.0,0.0,1.0,0.0,1.0,0.0,13204291.0,4100000.0,155545279.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,32000000,en,11.359658999999999,2005-08-02,87.0,Short,85167639.0,1,0,1,1,5,2005.0,8.0,1,2.0,-33273015.0,0,7.0,1,1,1,0,0,0,5,9,8,3,2,0,0,0.0,1.0,1.0,1.0,0.0,0.0,217764291.0,,,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,80000000,en,12.000579,1998-04-03,130.0,Large,136159423.0,1,0,1,1,3,1998.0,4.0,0,3.0,-28405871.0,0,4.0,1,1,0,0,0,0,3,11,7,9,3,0,0,0.0,0.0,0.0,1.0,1.0,1.0,315156409.0,27200316.0,,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13.0,7.0,25.0,9.0,5.0,4.0,4.0,23.0,16.0,11.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
21,22,4000000,en,7.99229,1982-08-13,95.0,Medium,36690067.0,1,0,1,1,9,1982.0,8.0,1,13.0,-33273015.0,0,2.0,1,1,0,0,0,0,9,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,,,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,23,0,en,7.820786999999999,2012-07-28,116.0,Medium,100345.0,1,1,1,1,13,2012.0,7.0,0,28.0,40981593.0,0,3.0,1,1,0,0,0,0,13,1,1,1,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,14347000.0,14347000.0,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,24,0,en,1.323333,2011-09-02,92.0,Short,17011.0,1,1,1,1,0,2011.0,9.0,1,2.0,-37667937.0,0,3.0,1,1,0,0,0,0,0,5,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,40846082.0,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,25,0,en,7.434577,2006-09-09,87.0,Short,4947717.0,1,1,1,1,3,2006.0,9.0,1,9.0,-37667937.0,0,2.0,1,1,1,0,0,0,3,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,26,0,en,1.252367,1992-10-23,95.0,Medium,8403433.0,1,0,1,1,0,1992.0,10.0,1,23.0,-28659422.0,0,4.0,2,1,0,0,0,0,0,1,1,1,1,7,2,0.0,1.0,0.0,1.0,0.0,0.0,48878502.0,3790493.0,18564613.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
26,27,10000000,en,4.305734999999999,1997-09-08,110.0,Medium,13835130.0,1,0,1,1,4,1997.0,9.0,1,8.0,-37667937.0,0,4.0,1,1,0,0,0,0,4,10,1,2,1,3,1,0.0,0.0,0.0,1.0,1.0,1.0,126297830.0,,2154540.0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
27,28,11000000,en,10.841891,2013-09-07,93.0,Short,7847000.0,1,0,1,1,3,2013.0,9.0,1,7.0,-37667937.0,0,3.0,2,1,0,0,0,0,3,10,3,8,6,11,6,0.0,1.0,0.0,1.0,0.0,1.0,933959197.0,91354215.0,403170142.0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,29,6000000,en,6.759181,1986-08-08,84.0,Short,5849647.0,1,0,1,1,6,1986.0,8.0,1,8.0,-33273015.0,0,4.0,1,1,0,0,0,1,6,2,2,1,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,37803872.0,90614445.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,45000000,en,7.81862,2002-04-07,89.0,Short,94935764.0,1,0,1,1,4,2002.0,4.0,0,7.0,-28405871.0,0,1.0,1,1,0,0,0,0,4,16,9,28,11,2,1,0.0,0.0,1.0,1.0,1.0,0.0,84431625.0,920100000.0,52322400.0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,13000000,fr,16.086919,2011-11-02,112.0,Medium,426480871.0,0,0,1,1,7,2011.0,11.0,0,2.0,31944703.0,0,8.0,1,1,1,0,0,0,7,4,2,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,23550000.0,,151119219.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,0,fr,5.69586,2005-05-02,117.0,Medium,36000000.0,0,1,1,0,15,2005.0,5.0,0,2.0,21757736.0,0,15.0,5,0,1,0,0,0,15,1,0,6,2,0,0,0.0,1.0,1.0,1.0,0.0,0.0,,152500343.0,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
32,33,90000000,en,13.412445000000002,2015-10-21,106.0,Medium,146936910.0,1,1,1,1,4,2015.0,10.0,1,21.0,-28659422.0,0,7.0,1,1,0,0,0,0,4,17,5,1,1,27,6,0.0,1.0,0.0,1.0,0.0,1.0,1506249360.0,9318.0,1021103568.0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,11.0,7.0,13.0,4.0,10.0,0.0,7.0,8.0,21.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
33,34,0,en,8.254856,2014-10-02,125.0,Large,7171.0,1,0,1,1,4,2014.0,10.0,1,2.0,-28659422.0,0,3.0,5,1,1,0,0,1,4,0,0,2,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,81010.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,9.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
34,35,140000000,en,9.718111,2007-08-08,91.0,Short,258022233.0,1,0,1,1,1,2007.0,8.0,1,8.0,-33273015.0,0,1.0,1,1,1,0,0,1,1,5,0,17,2,4,3,0.0,0.0,0.0,1.0,1.0,0.0,347325802.0,347325802.0,8690429.0,5,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,30000000,en,8.234382,2012-04-16,94.0,Medium,40346186.0,1,1,1,1,1,2012.0,4.0,0,16.0,-28405871.0,0,5.0,1,1,0,1,0,0,1,21,10,9,1,21,3,0.0,0.0,0.0,1.0,1.0,1.0,274470394.0,44196684.0,41098065.0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,9.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,37,0,en,2.100499,2000-01-28,105.0,Medium,151559.0,1,0,1,1,14,2000.0,1.0,0,28.0,-50746591.0,0,3.0,3,1,0,0,0,0,14,1,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,50000000,en,13.676444,1995-03-10,127.0,Large,189859560.0,1,0,1,1,8,1995.0,3.0,0,10.0,-7149862.0,0,4.0,1,1,1,0,0,0,8,13,2,4,3,9,4,0.0,1.0,0.0,1.0,0.0,1.0,106260000.0,176997168.0,390493908.0,5,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
38,39,0,en,0.32926,2013-09-13,90.0,Short,92100.0,1,1,1,1,0,2013.0,9.0,1,13.0,-37667937.0,0,,0,1,0,0,1,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,3800000,en,3.055936,1965-04-07,123.0,Large,14873.0,1,0,1,0,5,1965.0,4.0,0,7.0,-28405871.0,0,2.0,1,1,1,0,1,0,5,5,2,2,2,0,0,0.0,0.0,0.0,1.0,1.0,1.0,146900000.0,28900000.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,0,en,2.941626,2006-04-26,118.0,Medium,163000.0,1,1,1,1,2,2006.0,4.0,0,26.0,-28405871.0,0,1.0,1,1,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,3000000,en,9.718713000000001,1967-06-22,126.0,Large,16217773.0,1,0,1,1,12,1967.0,6.0,0,22.0,74205073.0,0,2.0,1,1,0,0,0,0,12,9,4,3,2,0,0,0.0,0.0,0.0,1.0,1.0,1.0,12000000.0,60000000.0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,25000000,en,2.9719990000000003,2000-03-03,108.0,Medium,24362772.0,1,0,1,1,10,2000.0,3.0,0,3.0,-7149862.0,0,2.0,1,1,1,0,0,0,10,10,4,4,3,2,0,1.0,0.0,0.0,0.0,1.0,1.0,141047179.0,18535191.0,159055768.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
43,44,6000000,en,9.383088,2014-09-05,92.0,Short,1020921.0,1,0,1,1,5,2014.0,9.0,1,5.0,-37667937.0,0,3.0,1,1,0,0,0,0,5,50,12,22,3,9,0,0.0,1.0,1.0,1.0,0.0,0.0,1004558444.0,266728738.0,60000000.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,45,15000000,en,5.615303,2005-02-04,88.0,Short,47175038.0,1,1,1,1,6,2005.0,2.0,0,4.0,-15309317.0,0,3.0,1,1,0,0,0,0,6,4,2,10,3,3,2,1.0,0.0,1.0,0.0,1.0,0.0,171963386.0,105834556.0,10571408.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
45,46,3906840,it,2.382068,2009-10-09,95.0,Medium,4300000.0,0,0,1,1,11,2009.0,10.0,1,9.0,-28659422.0,0,2.0,1,0,0,0,1,0,11,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,47,80000000,en,16.646029000000002,2006-03-23,91.0,Short,660940780.0,1,1,1,1,11,2006.0,3.0,0,23.0,-7149862.0,0,2.0,1,1,0,0,0,0,11,3,3,20,6,9,1,0.0,0.0,0.0,1.0,1.0,1.0,383257136.0,383257136.0,383257136.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
